,location_id,period_start,gender,age,age_value,glasses,mustache,beard,very_unhappy,unhappy,neutral,happy,very_happy,dwell_time,attention_time,fake_start_time,start_time,end_time,zone,media_type,file_name
18,34209,2017-08-17 14:59:38,1,3,34,1,2,1,0.0,14.90196078,67.84313725,12.94117647,4.31372549,122,35,2017-08-21 00:30:38,2017-08-21 00:14:38,2017-08-21 00:15:18,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
19,34209,2017-08-17 15:10:31,1,3,40,1,2,2,0.0,6.666666667,57.64705882,32.94117647,2.7450980389999997,200,174,2017-08-21 00:30:31,2017-08-21 00:01:31,2017-08-21 00:01:42,Video or Images,video,FS_Stills_National_CTA_Cater.mov
20,34209,2017-08-17 15:12:09,2,2,17,1,1,1,0.0,0.0,0.0,0.0,0.0,16,1,2017-08-21 00:30:09,2017-08-21 00:10:09,2017-08-21 00:10:19,Video or Images,video,FS_Stills_National_CTA_Cater.mov
21,34209,2017-08-17 15:13:22,1,3,38,1,1,1,0.0,10.19607843,58.43137255,31.37254902,0.0,143,71,2017-08-21 00:30:22,2017-08-21 00:02:22,2017-08-21 00:03:07,Video or Images,html5,Three Towers fat sals
22,34209,2017-08-17 15:14:27,1,3,40,1,1,1,0.0,15.29411765,46.66666667,34.50980392,3.529411765,111,13,2017-08-21 00:30:27,2017-08-21 00:14:27,2017-08-21 00:14:38,Video or Images,video,FS_Stills_National_CTA_Cater.mov
23,34209,2017-08-17 15:14:40,1,3,55,1,1,1,0.0,38.43137255,54.11764706,7.450980392000001,0.0,124,22,2017-08-21 00:30:40,2017-08-21 00:24:40,2017-08-21 00:24:49,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
24,34209,2017-08-17 15:16:30,2,2,28,1,1,1,0.0,5.882352941000001,79.21568627,14.90196078,0.0,123,34,2017-08-21 00:30:30,2017-08-21 00:20:30,2017-08-21 00:20:46,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
25,34209,2017-08-17 15:17:00,1,2,30,1,1,1,0.0,40.0,60.0,0.0,0.0,13,5,2017-08-21 00:30:00,2017-08-21 00:00:00,2017-08-21 00:00:58,Video or Images,html5,Three Towers fat sals
26,34209,2017-08-17 15:17:52,1,2,29,1,1,1,0.0,24.70588235,50.58823529,24.70588235,0.0,51,7,2017-08-21 00:30:52,2017-08-21 00:31:52,2017-08-21 00:32:32,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
27,34209,2017-08-17 15:19:14,2,3,33,1,1,1,0.0,60.0,40.0,0.0,0.0,103,17,2017-08-21 00:30:14,2017-08-21 00:27:14,2017-08-21 00:27:23,Video or Images,video,FS_Stills_National_Hat01.mp4
28,34209,2017-08-17 15:19:44,2,2,25,1,1,1,0.0,15.29411765,70.58823529,10.19607843,3.921568627,625,175,2017-08-21 00:30:44,2017-08-21 00:09:44,2017-08-21 00:10:00,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
29,34209,2017-08-17 15:20:54,1,3,54,3,2,1,0.0,0.0,43.1372549,38.03921569,18.82352941,105,41,2017-08-21 00:30:54,2017-08-21 00:13:54,2017-08-21 00:14:02,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
30,34209,2017-08-17 15:27:16,1,3,34,2,1,1,0.0,0.0,87.84313725,12.15686275,0.0,69,5,2017-08-21 00:30:16,2017-08-21 00:03:16,2017-08-21 00:03:32,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
31,34209,2017-08-17 15:27:24,2,2,19,1,1,1,0.0,0.0,83.52941176,16.47058824,0.0,20,6,2017-08-21 00:30:24,2017-08-21 00:25:24,2017-08-21 00:26:04,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
32,34209,2017-08-17 15:46:32,1,3,36,1,2,1,0.0,100.0,0.0,0.0,0.0,34,8,2017-08-21 00:30:32,2017-08-21 00:03:32,2017-08-21 00:03:41,Video or Images,video,FS_Stills_National_Hat01.mp4
33,34209,2017-08-17 17:11:18,1,3,36,1,2,2,0.0,0.0,0.0,0.0,0.0,32,3,2017-08-21 00:30:18,2017-08-21 00:12:18,2017-08-21 00:12:28,Video or Images,video,FS_Stills_National_CTA_Cater.mov
34,34209,2017-08-17 17:15:50,1,3,45,1,2,1,0.0,0.0,43.92156863,50.98039216,5.098039216,76,33,2017-08-21 00:30:50,2017-08-21 00:05:50,2017-08-21 00:06:00,Video or Images,video,FS_Stills_National_CTA_Cater.mov
35,34209,2017-08-17 17:19:13,1,3,41,1,2,1,0.0,5.882352941000001,69.80392157,24.31372549,0.0,34,34,2017-08-21 00:30:13,2017-08-21 00:25:13,2017-08-21 00:25:24,Video or Images,video,FS_Stills_National_CTA_Cater.mov
36,34209,2017-08-17 17:19:15,1,3,35,1,1,2,0.0,0.0,0.0,0.0,0.0,36,3,2017-08-21 00:30:15,2017-08-21 00:23:15,2017-08-21 00:23:55,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
37,34209,2017-08-17 17:57:21,1,3,38,1,1,1,0.0,87.45098039,12.54901961,0.0,0.0,1071,871,2017-08-21 00:30:21,2017-08-21 00:18:21,2017-08-21 00:18:37,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
38,34209,2017-08-17 18:02:02,1,3,37,1,2,2,0.0,2.7450980389999997,52.15686275,43.52941176,1.568627451,2114,1834,2017-08-21 00:30:02,2017-08-21 00:14:02,2017-08-21 00:14:19,Video or Images,video,FS_MOV_National_Hot_Girls_1.mp4
39,34209,2017-08-17 19:29:42,1,3,51,1,1,2,0.0,0.0,85.88235294,14.11764706,0.0,83,20,2017-08-21 00:30:42,2017-08-21 00:01:42,2017-08-21 00:02:22,Video or Images,video,FS_MOV_National_Merch_Surgeon.mp4
40,34209,2017-08-23 07:25:45,1,3,54,2,2,1,0.0,10.98039216,62.74509804,24.31372549,1.960784314,86,65,2017-08-21 00:30:45,2017-08-21 00:11:45,2017-08-21 00:11:53,Video or Images,video,FS_Stills_National_FoodPorn01.mp4
